Date,Price
5/1/2019,70
5/2/2019,70
5/3/2019,70
5/4/2019,70
5/5/2019,70
5/6/2019,70
5/7/2019,70
5/8/2019,65
5/9/2019,65
5/10/2019,65
5/11/2019,65
5/12/2019,70
5/13/2019,70
5/14/2019,70
5/15/2019,70
5/16/2019,70
5/17/2019,70
5/18/2019,70
5/19/2019,70
5/20/2019,70
5/21/2019,70
5/22/2019,70
5/23/2019,70
5/24/2019,70
5/25/2019,70
5/26/2019,70
5/27/2019,70
5/28/2019,70
5/29/2019,70
5/30/2019,70
5/31/2019,70
6/1/2019,80
6/2/2019,80
6/3/2019,80
6/4/2019,90
6/5/2019,90
6/6/2019,90
6/7/2019,90
6/8/2019,90
6/9/2019,90
6/10/2019,90
6/11/2019,90
6/12/2019,115
6/13/2019,115
6/14/2019,115
6/15/2019,110
6/16/2019,110
6/17/2019,120
6/18/2019,120
6/19/2019,120
6/20/2019,120
6/21/2019,120
6/22/2019,120
6/23/2019,120
6/24/2019,120
6/25/2019,120
6/26/2019,120
6/27/2019,120
6/28/2019,120
6/29/2019,120
6/30/2019,110
7/1/2019,110
7/2/2019,110
7/3/2019,100
7/4/2019,100
7/5/2019,100
7/6/2019,100
7/7/2019,100
7/8/2019,100
7/9/2019,100
7/10/2019,100
7/11/2019,100
7/12/2019,100
7/13/2019,100
7/14/2019,100
7/15/2019,100
7/16/2019,100
7/17/2019,95
7/18/2019,95
7/19/2019,95
7/20/2019,95
7/21/2019,90
7/22/2019,90
7/23/2019,90
7/24/2019,90
7/25/2019,90
7/26/2019,90
7/27/2019,95
7/28/2019,95
7/29/2019,95
7/30/2019,95
7/31/2019,95
8/1/2019,100
8/2/2019,100
8/3/2019,100
8/4/2019,100
8/5/2019,100
8/6/2019,100
8/7/2019,100
8/8/2019,100
8/9/2019,100
8/10/2019,100
8/11/2019,100
8/12/2019,100
8/13/2019,100
8/14/2019,100
8/15/2019,100
8/16/2019,100
8/17/2019,100
8/18/2019,55
8/19/2019,55
8/20/2019,55
8/21/2019,100
8/22/2019,100
8/23/2019,100
8/24/2019,100
8/25/2019,105
8/26/2019,105
8/27/2019,105
8/28/2019,105
8/29/2019,105
8/30/2019,105
8/31/2019,105
9/1/2019,105
9/2/2019,105
9/3/2019,105
9/4/2019,100
9/5/2019,100
9/6/2019,95
9/7/2019,95
9/8/2019,90
9/9/2019,90
9/10/2019,90
9/11/2019,90
9/12/2019,90
9/13/2019,85
9/14/2019,85
9/15/2019,85
9/16/2019,85
9/17/2019,85
9/18/2019,85
9/19/2019,85
9/20/2019,80
9/21/2019,80
9/22/2019,80
9/23/2019,80
9/24/2019,80
9/25/2019,80
9/26/2019,80
9/27/2019,80
9/28/2019,80
9/29/2019,80
9/30/2019,80
10/1/2019,85
10/2/2019,75
10/3/2019,75
10/4/2019,75
10/5/2019,75
10/6/2019,70
10/7/2019,70
10/8/2019,70
10/9/2019,70
10/10/2019,70
10/11/2019,70
10/12/2019,80
10/13/2019,85
10/14/2019,85
10/15/2019,85
10/16/2019,85
10/17/2019,85
10/18/2019,85
10/19/2019,80
10/20/2019,80
10/21/2019,80
10/22/2019,80
10/23/2019,80
10/24/2019,80
10/25/2019,80
10/26/2019,80
10/27/2019,80
10/28/2019,80
10/29/2019,80
10/30/2019,80
10/31/2019,70
11/1/2019,70
11/2/2019,70
11/3/2019,75
11/4/2019,75
11/5/2019,75
11/6/2019,65
11/7/2019,65
11/8/2019,65
11/9/2019,65
11/10/2019,65
11/11/2019,65
11/12/2019,65
11/13/2019,65
11/14/2019,65
11/15/2019,65
11/16/2019,65
11/17/2019,65
11/18/2019,70
11/19/2019,65
11/20/2019,65
11/21/2019,65
11/22/2019,65
11/23/2019,70
11/24/2019,70
11/25/2019,70
11/26/2019,65
11/27/2019,65
11/28/2019,65
11/29/2019,65
11/30/2019,65
12/1/2019,65
12/2/2019,40
12/3/2019,40
12/4/2019,40
12/5/2019,40
12/6/2019,60
12/7/2019,65
12/8/2019,65
12/9/2019,65
12/10/2019,65
12/11/2019,65
12/12/2019,65
12/13/2019,65
12/14/2019,65
12/15/2019,65
12/16/2019,65
12/17/2019,65
12/18/2019,65
12/19/2019,65
