Date,Price
5/1/2019,20
5/2/2019,20
5/3/2019,20
5/4/2019,20
5/5/2019,20
5/6/2019,20
5/7/2019,20
5/8/2019,20
5/9/2019,20
5/10/2019,20
5/11/2019,20
5/12/2019,25
5/13/2019,20
5/14/2019,20
5/15/2019,20
5/16/2019,20
5/17/2019,20
5/18/2019,20
5/19/2019,20
5/20/2019,20
5/21/2019,20
5/22/2019,20
5/23/2019,20
5/24/2019,20
5/25/2019,20
5/26/2019,26
5/27/2019,26
5/28/2019,26
5/29/2019,26
5/30/2019,26
5/31/2019,26
6/1/2019,25
6/2/2019,25
6/3/2019,25
6/4/2019,30
6/5/2019,30
6/6/2019,30
6/7/2019,30
6/8/2019,30
6/9/2019,35
6/10/2019,35
6/11/2019,35
6/12/2019,35
6/13/2019,35
6/14/2019,35
6/15/2019,40
6/16/2019,40
6/17/2019,40
6/18/2019,40
6/19/2019,40
6/20/2019,40
6/21/2019,40
6/22/2019,40
6/23/2019,35
6/24/2019,35
6/25/2019,40
6/26/2019,40
6/27/2019,40
6/28/2019,40
6/29/2019,40
6/30/2019,30
7/1/2019,30
7/2/2019,30
7/3/2019,30
7/4/2019,30
7/5/2019,30
7/6/2019,30
7/7/2019,30
7/8/2019,30
7/9/2019,30
7/10/2019,30
7/11/2019,30
7/12/2019,30
7/13/2019,30
7/14/2019,30
7/15/2019,30
7/16/2019,30
7/17/2019,30
7/18/2019,30
7/19/2019,30
7/20/2019,30
7/21/2019,30
7/22/2019,30
7/23/2019,30
7/24/2019,30
7/25/2019,30
7/26/2019,30
7/27/2019,30
7/28/2019,30
7/29/2019,30
7/30/2019,30
7/31/2019,30
8/1/2019,30
8/2/2019,35
8/3/2019,30
8/4/2019,30
8/5/2019,30
8/6/2019,30
8/7/2019,30
8/8/2019,30
8/9/2019,30
8/10/2019,30
8/11/2019,35
8/12/2019,35
8/13/2019,35
8/14/2019,35
8/15/2019,30
8/16/2019,30
8/17/2019,30
8/18/2019,20
8/19/2019,20
8/20/2019,20
8/21/2019,30
8/22/2019,30
8/23/2019,30
8/24/2019,30
8/25/2019,35
8/26/2019,35
8/27/2019,40
8/28/2019,40
8/29/2019,40
8/30/2019,40
8/31/2019,40
9/1/2019,40
9/2/2019,40
9/3/2019,40
9/4/2019,30
9/5/2019,30
9/6/2019,30
9/7/2019,30
9/8/2019,30
9/9/2019,30
9/10/2019,30
9/11/2019,30
9/12/2019,30
9/13/2019,30
9/14/2019,30
9/15/2019,30
9/16/2019,30
