month year,Pcs / Pk,Sales,UnitPrice,OTIF,Embelishment Cost
10/1/2017,2,2000,2.88,,0.18
10/1/2017,2,2000,2.88,,0.24
10/1/2017,2,5000,2.88,,0.18
2/1/2018,3,26160,4.15,,0.18
2/1/2018,3,32280,4.15,,0.37
8/1/2018,3,25500,3.8,,0.17
8/1/2018,3,52650,5.82,,0.053
8/1/2018,3,63000,5.82,,0.053
8/1/2018,3,27150,5.82,,0.053
8/1/2018,7,126000,5.91,,0.207
8/1/2018,7,77175,5.91,,0.15
8/1/2018,7,74025,5.91,,0.15
8/1/2018,2,4000,2.77,,0.15
8/1/2018,2,2000,2.77,,0.15
8/1/2018,2,6000,2.77,,0.15
12/1/2018,3,30000,2.75,,0
12/1/2018,3,7500,2.33,,0
12/1/2018,3,65160,2.35,,0
12/1/2018,3,58500,5.96,,0.201
12/1/2018,3,54000,2.34,,0
12/1/2018,7,65625,5.96,,0.2
12/1/2018,7,204575,5.96,,0.174
12/1/2018,2,5560,2.77,,0.15
12/1/2018,2,2000,2.77,,0.15
12/1/2018,2,7600,2.77,,0.15
7/1/2018,3,28575,5.82,,0.053
7/1/2018,3,21000,5.82,,0.053
7/1/2018,7,70175,5.91,,0.207
7/1/2018,7,153650,5.91,,0.15
6/1/2018,3,9375,5.82,,0.053
6/1/2018,7,52325,5.91,,0.15
11/1/2018,3,22500,2.75,,0
11/1/2018,3,7500,2.33,,0
11/1/2018,3,54000,2.34,,0
11/1/2018,7,223125,5.96,,0.2
10/1/2018,3,30000,2.75,,0
10/1/2018,3,7500,2.33,,0
10/1/2018,3,18000,5.82,,0.053
10/1/2018,3,15000,5.82,,0.053
10/1/2018,3,69000,2.34,,0
10/1/2018,7,26250,5.96,,0.2
10/1/2018,7,73500,5.93,,0.234
9/1/2018,3,25500,3.8,,0.17
9/1/2018,3,22500,2.75,,0
9/1/2018,3,36375,5.82,,0.053
9/1/2018,3,18000,5.82,,0.053
9/1/2018,3,6150,5.82,,0.053
9/1/2018,3,9000,2.34,,0
9/1/2018,7,112000,5.91,,0.207
9/1/2018,7,35000,5.91,,0.15
9/1/2018,7,42350,5.91,,0.15
9/1/2018,7,73500,5.93,,0.234
2/1/2019,3,15000,2.75,,0
2/1/2019,3,22500,2.33,,0
2/1/2019,3,33930,2.35,,0
2/1/2019,3,39000,2.34,,0
2/1/2019,7,131250,5.96,,0.154
2/1/2019,7,100625,5.96,,0.154
1/1/2019,3,22500,2.75,,0
1/1/2019,3,22500,2.33,,0
1/1/2019,3,33930,2.35,,0
1/1/2019,3,15750,5.96,,0.201
1/1/2019,3,39000,2.34,,0
1/1/2019,7,55125,5.96,,0.174
1/1/2019,7,26075,5.96,,0.154
3/1/2019,3,22500,2.75,,0
3/1/2019,3,75000,2.33,,0
3/1/2019,3,63180,2.35,,0
3/1/2019,3,24000,2.34,,0
3/1/2019,7,17500,5.96,,0.165
3/1/2019,7,110250,5.96,,0.154
3/1/2019,7,61250,5.96,,0.154
4/1/2019,3,33750,2.78,,
4/1/2019,3,15000,2.34,,0
4/1/2019,3,15000,2.35,,
4/1/2019,7,70000,5.96,,0.165
4/1/2019,7,78750,5.96,,0.154
4/1/2019,7,253750,5.94,,0.154
8/1/2019,2,6000,2.78,,
8/1/2019,3,41250,2.78,,
8/1/2019,3,37500,2.32,,
8/1/2019,3,52500,2.35,,
8/1/2019,7,52500,6,,0.165
8/1/2019,7,12103,6,,0.17
8/1/2019,5,96510,5.2,,0.124
8/1/2019,7,84868,6,,0.185
8/1/2019,7,70000,5.94,,0.154
12/1/2019,2,18240,2,,
12/1/2019,2,36000,2,,
12/1/2019,3,41400,5.89,,0.113
12/1/2019,3,76650,5.89,,0.062
12/1/2019,3,57000,5.89,,0.062
12/1/2019,3,13200,2.78,,
12/1/2019,3,16800,2.78,,
12/1/2019,3,12900,2.33,,
12/1/2019,3,62550,2.33,,
12/1/2019,3,17100,2.33,,
12/1/2019,3,10350,2.37,,
12/1/2019,3,675,2.37,,
12/1/2019,3,12150,2.37,,
12/1/2019,3,7500,5.89,,0.052
12/1/2019,7,88900,6.03,,0.175
12/1/2019,7,182000,6.03,,0.175
12/1/2019,1,10830,2.55,,0.154
12/1/2019,7,108500,6.03,,0.206
12/1/2019,7,122500,6.03,,0.185
12/1/2019,3,32625,5.89,,0.051
