Date,Price
5/1/2019,40.96774194
6/1/2019,67.3
7/1/2019,60
8/1/2019,58.38709677
9/1/2019,57.16666667
10/1/2019,54.03225806
11/1/2019,46.5
12/1/2019,47.09677419
1/1/2020,46.29032258
2/1/2020,52.06896552
3/1/2020,55.16129032
4/1/2020,56.33333333
5/1/2020,55.32258065
6/1/2020,53.5
7/1/2020,55
8/1/2020,56.77419355
9/1/2020,60
10/1/2020,64.35483871
11/1/2020,69.83333333
12/1/2020,76.61290323
1/1/2021,83.87096774
2/1/2021,76.60714286
3/1/2021,82.09677419
4/1/2021,47.5
5/1/2021,31.61290323
6/1/2021,34.66666667
7/1/2021,45.48387097
8/1/2021,44.19354839
9/1/2021,75.33333333
10/1/2021,87.74193548
11/1/2021,60
12/1/2021,78.06451613
1/1/2022,93.70967742
2/1/2022,96.96428571
3/1/2022,128.7096774
4/1/2022,87
