Date,Price
5/1/2019,69.35483871
6/1/2019,106.5
7/1/2019,97.25806452
8/1/2019,96.77419355
9/1/2019,87.66666667
10/1/2019,78.22580645
11/1/2019,67
12/1/2019,63.87096774
1/1/2020,74.83870968
2/1/2020,78.27586207
3/1/2020,84.83870968
4/1/2020,80.33333333
5/1/2020,84.67741935
6/1/2020,73.5
7/1/2020,77.25806452
8/1/2020,86.77419355
9/1/2020,90
10/1/2020,94.51612903
11/1/2020,95.83333333
12/1/2020,106.6129032
1/1/2021,120.3225806
2/1/2021,128.5714286
3/1/2021,143.5483871
4/1/2021,72.66666667
5/1/2021,48.22580645
6/1/2021,45.5
7/1/2021,65.64516129
8/1/2021,63.70967742
9/1/2021,124
10/1/2021,129.6774194
11/1/2021,81
12/1/2021,119.8387097
1/1/2022,140.9677419
2/1/2022,141.4285714
3/1/2022,193.3870968
4/1/2022,127.1666667
